Распределение температуры на момент времени t = 60 секунд:
x = 0, T = 300 C
x = 0.0354709, T = 129.988 C
x = 0.0356713, T = 129.317 C
x = 0.0358717, T = 128.651 C
x = 0.0360721, T = 127.988 C
x = 0.0362725, T = 127.331 C
x = 0.0364729, T = 126.677 C
x = 0.0366733, T = 126.027 C
x = 0.0368737, T = 125.382 C
x = 0.0370741, T = 124.741 C
x = 0.0372745, T = 124.104 C
x = 0.0374749, T = 123.472 C
x = 0.0376754, T = 122.844 C
x = 0.0378758, T = 122.22 C
x = 0.0380762, T = 121.601 C
x = 0.0382766, T = 120.985 C
x = 0.038477, T = 120.374 C
x = 0.0386774, T = 119.768 C
x = 0.0388778, T = 119.165 C
x = 0.0390782, T = 118.567 C
x = 0.0392786, T = 117.974 C
x = 0.039479, T = 117.384 C
x = 0.0396794, T = 116.799 C
x = 0.0398798, T = 116.219 C
x = 0.0400802, T = 115.642 C
x = 0.0402806, T = 115.07 C
x = 0.040481, T = 114.502 C
x = 0.0406814, T = 113.939 C
x = 0.0408818, T = 113.38 C
x = 0.0410822, T = 112.825 C
x = 0.0412826, T = 112.275 C
x = 0.041483, T = 111.729 C
x = 0.0416834, T = 111.187 C
x = 0.0418838, T = 110.65 C
x = 0.0420842, T = 110.117 C
x = 0.0422846, T = 109.588 C
x = 0.042485, T = 109.064 C
x = 0.0426854, T = 108.544 C
x = 0.0428858, T = 108.028 C
x = 0.0430862, T = 107.517 C
x = 0.0432866, T = 107.01 C
x = 0.043487, T = 106.508 C
x = 0.0436874, T = 106.01 C
x = 0.0438878, T = 105.516 C
x = 0.0440882, T = 105.026 C
x = 0.0442886, T = 104.541 C
x = 0.044489, T = 104.06 C
x = 0.0446894, T = 103.584 C
x = 0.0448898, T = 103.112 C
x = 0.0450902, T = 102.644 C
x = 0.0452906, T = 102.18 C
x = 0.045491, T = 101.721 C
x = 0.0456914, T = 101.266 C
x = 0.0458918, T = 100.816 C
x = 0.0460922, T = 100.37 C
x = 0.0462926, T = 99.9278 C
x = 0.046493, T = 99.4902 C
x = 0.0466934, T = 99.057 C
x = 0.0468938, T = 98.6281 C
x = 0.0470942, T = 98.2035 C
x = 0.0472946, T = 97.7832 C
x = 0.047495, T = 97.3672 C
x = 0.0476954, T = 96.9555 C
x = 0.0478958, T = 96.5481 C
x = 0.0480962, T = 96.145 C
x = 0.0482966, T = 95.7461 C
x = 0.048497, T = 95.3516 C
x = 0.0486974, T = 94.9613 C
x = 0.0488978, T = 94.5752 C
x = 0.0490982, T = 94.1935 C
x = 0.0492986, T = 93.8159 C
x = 0.049499, T = 93.4427 C
x = 0.0496994, T = 93.0736 C
x = 0.0498998, T = 92.7088 C
x = 0.0501002, T = 92.3483 C
x = 0.0503006, T = 91.9919 C
x = 0.050501, T = 91.6398 C
x = 0.0507014, T = 91.2919 C
x = 0.0509018, T = 90.9482 C
x = 0.0511022, T = 90.6087 C
x = 0.0513026, T = 90.2734 C
x = 0.051503, T = 89.9422 C
x = 0.0517034, T = 89.6153 C
x = 0.0519038, T = 89.2925 C
x = 0.0521042, T = 88.9738 C
x = 0.0523046, T = 88.6594 C
x = 0.052505, T = 88.349 C
x = 0.0527054, T = 88.0428 C
x = 0.0529058, T = 87.7407 C
x = 0.0531062, T = 87.4428 C
x = 0.0533066, T = 87.1489 C
x = 0.053507, T = 86.8592 C
x = 0.0537074, T = 86.5735 C
x = 0.0539078, T = 86.292 C
x = 0.0541082, T = 86.0145 C
x = 0.0543086, T = 85.741 C
x = 0.054509, T = 85.4717 C
x = 0.0547094, T = 85.2063 C
x = 0.0549098, T = 84.945 C
x = 0.0551102, T = 84.6878 C
x = 0.0553106, T = 84.4345 C
x = 0.055511, T = 84.1853 C
x = 0.0557114, T = 83.94 C
x = 0.0559118, T = 83.6988 C
x = 0.0561122, T = 83.4615 C
x = 0.0563126, T = 83.2282 C
x = 0.056513, T = 82.9988 C
x = 0.0567134, T = 82.7734 C
x = 0.0569138, T = 82.5519 C
x = 0.0571142, T = 82.3343 C
x = 0.0573146, T = 82.1207 C
x = 0.057515, T = 81.9109 C
x = 0.0577154, T = 81.705 C
x = 0.0579158, T = 81.503 C
x = 0.0581162, T = 81.3049 C
x = 0.0583166, T = 81.1106 C
x = 0.058517, T = 80.9202 C
x = 0.0587174, T = 80.7336 C
x = 0.0589178, T = 80.5508 C
x = 0.0591182, T = 80.3718 C
x = 0.0593186, T = 80.1966 C
x = 0.059519, T = 80.0252 C
x = 0.0597194, T = 79.8575 C
x = 0.0599198, T = 79.6936 C
x = 0.0601202, T = 79.5335 C
